url,name,sku,brand,gtin13,description,product_id,availability,currency,price,avg_rating,reviews_count,uniq_id,scraped_at
https://www.petsmart.com/pharmacy/dog/immune-support/piroxicam-10-mg---single-capsule-66997.html,Piroxicam 10 mg - Single Capsule,5317145,Piroxicam,3009307560160,Piroxicam 10 mg - Single Capsule,5317145,InStock,USD,1.19,,0,34bcb49a-0114-58f9-a2fa-a2b5684e7dce,30/07/2022 12:09:24
https://www.petsmart.com/dog/cleaning-supplies/waste-disposal/barkyard-bad-spot---sun-and-shade---mulch-seed-fertilizer---3.75-lb-64713.html,"BarkYard Bad Spot - Sun &amp; Shade - Mulch, Seed, Fertilizer - 3.75 lb",5311703,BarkYard,0032247175005,"BarkYard Bad Spot - Sun &amp; Shade - Mulch, Seed, Fertilizer - 3.75 lb",5311703,InStock,USD,19.99,,0,6dd7e1e9-e740-5e5f-9db7-ae6eee8c14f8,30/07/2022 12:09:24
https://www.petsmart.com/dog/toys/plush-toys/baltimore-ravens-nfl-field-dog-toy-29793.html,Baltimore Ravens NFL Field Dog Toy,5233933,Pets First,0849790029323,Baltimore Ravens NFL Field Dog Toy,5233933,InStock,USD,12.99,,0,bfe36cd6-6474-5a95-8912-866ff4239b43,30/07/2022 12:09:26
https://www.petsmart.com/reptile/snake/heating-and-lighting/thrive-desert-10.0-uvb-bulb-5314812.html,Thrive Desert 10.0 UVB Bulb,5314812,Thrive,0737257958319,Thrive Desert 10.0 UVB Bulb,5314812,InStock,USD,24.99,5.0,1,62e7f3ef-8af5-582d-bd82-cb89387b9b04,30/07/2022 12:09:26
https://www.petsmart.com/fish/decor-gravel-and-substrate/ornaments/top-fin-sand-castle-club-aquarium-ornament-58037.html,Top Fin&reg; Sand Castle Club Aquarium Ornament,5291953,Top Fin,0737257849327,Top Fin&reg; Sand Castle Club Aquarium Ornament,5291953,InStock,USD,11.99,4.5,2,4f9fac1e-85dc-596d-98f5-693d855907fd,30/07/2022 12:09:27
https://www.petsmart.com/dog/food/veterinary-diets/blue-buffalo-blue-natural-veterinary-dietandtrade--adult-dry-dog-food---natural-chicken-66408.html,"Blue Buffalo&reg; Blue Natural Veterinary Diet&amp;trade;  Adult Dry Dog Food - Natural, Chicken",5314875,Blue Buffalo Natural Veterinary Diet,0840243118700,"Blue Buffalo&reg; Blue Natural Veterinary Diet&amp;trade;  Adult Dry Dog Food - Natural, Chicken",5314875,InStock,USD,30.48,3.8333,6,979f6282-cd49-5810-b1fc-dc59ab9e88cf,30/07/2022 12:09:27
https://www.petsmart.com/fish/food-and-care/disease-treatment/tetra-aquarium-ick-guard-18095.html,Tetra&reg; Aquarium Ick Guard,5016501,Tetra,0046798773474,Tetra&reg; Aquarium Ick Guard,5016501,InStock,USD,4.09,4.0,53,5c5bcdd4-f74c-594b-84cf-5c2c02346b0d,30/07/2022 12:09:27
https://www.petsmart.com/dog/beds-and-furniture/pillow-beds/pendleton-vintage-camp-oxford-black-napper-dog-dog-70010.html,Pendleton Vintage Camp Oxford Black Napper Dog Dog,5325247,Pendleton,0830000057366,Pendleton Vintage Camp Oxford Black Napper Dog Dog,5325247,InStock,USD,139.00,,0,a90b40cd-fc68-52ae-b13d-0471d88e7886,30/07/2022 12:09:28
https://www.petsmart.com/dog/treats/bones-and-rawhide/collachews-rawhide-alternative-6-rolls-collagen-dog-treats---natural-bully-69897.html,"Collachews Rawhide Alternative 6&quot; Rolls Collagen Dog Treats - Natural, Bully",5322504,Collachews,0810022720523,"Collachews Rawhide Alternative 6&quot; Rolls Collagen Dog Treats - Natural, Bully",5322504,InStock,USD,24.99,5.0,2,3c0c3bb8-baf3-5d57-86e1-576b15eb86ec,30/07/2022 12:09:28
https://www.petsmart.com/dog/beds-and-furniture/pillow-beds/top-paw-x-large-black-plaid-pillow-dog-bed-60262.html,Top Paw&reg; X-Large Black Plaid Pillow Dog Bed,5302730,Top Paw,0737257910478,Top Paw&reg; X-Large Black Plaid Pillow Dog Bed,5302730,OutOfStock,USD,19.97,4.32,50,6cf7cab3-bc9b-538b-b557-376d0add1565,30/07/2022 12:09:29
